Maintenance_ID,Aircraft_ID,Aircraft_Type,Maintenance_Type,Maintenance_Category,Scheduled_Date,Actual_Start_Date,Completion_Date,Budgeted_Cost,Actual_Cost,Labor_Hours,Parts_Cost,Vendor,Priority,Status,Location,Downtime_Hours,Technician_Count,Cost_Variance,Cost_Variance_Percent
M2417,A07,A350,Unscheduled,,,,2023-02-07,14649.0,14409.0,203.0,74767.0,,Critical,Completed,NewYork,,,-240.0,
M4247,A19,,Preventive,Avionics,2023-07-26,,2023-08-07,,,,,,Medium,Completed,,121.0,1.0,,
M2419,A46,b737,Emergency,LandingGear,2024-01-01,2024-01-06,,16314.0,16453.0,216.0,,V-C,High,,Frankfurt,10.0,8.0,139.0,0.85
M3738,A09,,,Structure,2023-06-16,,2023-06-19,146788.0,139264.0,48.0,,V-A,,Cancelled,,9.0,5.0,-7524.0,-5.13
M1269,A42,,Emergency,Avionics,2023-05-02,2023-05-05,,,117721.0,,79086.0,V-A,High,completed,Frankfurt,133.0,,-32105.0,
M734,A20,A-320,scheduled,Structure,2022-07-12,2022-07-11,2022-07-14,,96363.0,31.0,20305.0,InHouse,,,Dallas,,8.0,,-16.86
M2779,A55,A-320,scheduled,Structure,,,2024-01-07,107430.0,105661.0,29.0,,,Medium,completed,Dubai,93.0,1.0,,-1.65
M4395,A13,B777,scheduled,Engine,,2023-10-08,2023-10-12,119562.0,,111.0,50276.0,V-A,Medium,Delayed,Frankfurt,,4.0,51345.0,42.94
M4921,A19,b737,Preventive,Avionics,2022-09-05,2022-09-13,2022-09-14,80149.0,,,,V-C,Medium,InProgress,,97.0,,-1003.0,-1.25
M764,A55,b737,,Hydraulics,2024-08-02,2024-08-01,,70662.0,55934.0,,50063.0,inhouse,Critical,,London,32.0,,-14728.0,
M4316,A09,A-320,Unscheduled,Avionics,,2024-08-20,,54311.0,66212.0,205.0,64053.0,,High,completed,Mumbai,28.0,,11901.0,21.91
M528,A11,b737,,Avionics,2024-03-11,,,,,97.0,,V-C,Low,completed,Frankfurt,30.0,3.0,,
M1545,A15,B777,,LandingGear,,,2022-07-04,,48743.0,202.0,74821.0,InHouse,Critical,InProgress,Chennai,115.0,,,
M4693,A36,A-320,,,2024-06-01,,,107764.0,,,,,Low,completed,Chicago,,,39511.0,
M4150,A33,b737,,,,2023-08-25,2023-08-26,146983.0,,173.0,,,,Cancelled,,63.0,4.0,,-13.28
M4631,A56,b737,,Electrical,,,2023-06-12,,184664.0,186.0,64543.0,,,Completed,Chicago,,10.0,,41.58
M1484,A40,A-320,,Avionics,,,,13527.0,14779.0,26.0,58302.0,V-C,Critical,Completed,,,4.0,1252.0,
M804,A17,B787,Preventive,,2023-07-26,2023-07-29,2023-07-31,,15697.0,,31764.0,,Low,,,,,,
M858,A15,B737,,Avionics,2022-10-09,2022-10-14,2022-10-19,,,21.0,,,,,,89.0,9.0,-19651.0,
M1282,A28,,,,2022-03-16,2022-03-24,2022-03-24,102254.0,137253.0,24.0,75625.0,InHouse,Low,,Tokyo,65.0,3.0,34999.0,34.23
M4902,A50,,,LandingGear,2023-09-21,2023-10-01,,49854.0,,34.0,45730.0,InHouse,Critical,,Atlanta,56.0,,,-15.92
M3334,A46,A350,,Structure,2022-04-18,2022-04-25,2022-04-26,35797.0,27328.0,,13611.0,V-C,High,,,,5.0,-8469.0,-23.66
M4522,A03,b737,,Hydraulics,2022-04-28,2022-05-06,,82502.0,95676.0,,,InHouse,High,InProgress,Dubai,,10.0,13174.0,
M4291,A02,B777,Preventive,Electrical,,,2023-08-31,71136.0,102313.0,,88330.0,inhouse,,,LosAngeles,,10.0,31177.0,43.83
M220,A13,b737,scheduled,Avionics,2022-03-04,,2022-03-06,105405.0,85355.0,166.0,,V-A,,Delayed,Frankfurt,,8.0,,
M3482,A49,B777,,Avionics,,2023-03-20,2023-03-21,135403.0,,51.0,20021.0,V-A,,Delayed,Chicago,32.0,10.0,,
M1116,A51,,Emergency,LandingGear,2022-08-09,2022-08-20,2022-08-24,,59585.0,,80466.0,V-B,Critical,InProgress,,80.0,7.0,,18.88
M583,A26,,scheduled,,,2024-03-05,,95867.0,,,62866.0,inhouse,,Cancelled,Dallas,,4.0,31300.0,32.65
M3536,A56,b737,,,,,2022-09-13,64519.0,62273.0,,83223.0,inhouse,Critical,,Dubai,93.0,4.0,,
M044,A42,B777,,,2023-12-26,,2023-12-31,51173.0,65861.0,,64372.0,InHouse,Low,,Atlanta,87.0,4.0,,28.7
M3801,A55,A-320,,Hydraulics,2023-08-09,,2023-08-16,78999.0,73176.0,29.0,78410.0,V-B,Critical,,,,5.0,-5823.0,-7.37
M3514,A25,A350,,Engine,2023-08-06,,2023-08-10,,25335.0,,12135.0,,Critical,,,65.0,9.0,,12.25
M4216,A58,B777,,,2022-08-07,,2022-08-15,130505.0,192882.0,42.0,31041.0,inhouse,High,completed,Singapore,,,62377.0,
M1002,A39,B777,Unscheduled,Engine,2023-04-14,2023-04-23,2023-04-24,133891.0,,162.0,,V-A,Critical,completed,NewYork,7.0,5.0,11265.0,8.41
M1225,A57,A350,Preventive,,2023-02-17,2023-02-19,2023-02-23,71642.0,,25.0,,inhouse,,completed,Dallas,40.0,,26555.0,
M3075,A04,A350,Preventive,Engine,,,2022-12-30,34242.0,,106.0,80154.0,V-A,High,Cancelled,Chennai,,,13248.0,
M1072,A04,B787,,Avionics,2022-09-04,2022-09-15,2022-09-16,,,32.0,59840.0,,High,Completed,Atlanta,,,-12362.0,-27.06
M719,A06,b737,,LandingGear,2024-07-09,,2024-07-12,90862.0,73675.0,75.0,64120.0,V-B,,,Tokyo,,5.0,-17187.0,
M4206,A20,A-320,scheduled,,2024-01-13,,2024-01-18,120680.0,162207.0,149.0,57415.0,,High,,London,97.0,,41527.0,34.41
M3258,A45,B787,,,2023-09-25,2023-10-04,,,,,,,,Cancelled,Singapore,86.0,,-22561.0,
M671,A15,B777,Emergency,Avionics,2024-08-26,2024-08-31,2024-09-06,,79913.0,,,InHouse,,,Dallas,116.0,,20870.0,35.35
M3850,A27,B737,Preventive,,2023-03-26,2023-03-28,,,185387.0,143.0,67259.0,,,Cancelled,,77.0,3.0,52867.0,39.89
M2893,A27,A320,Emergency,,,,2024-03-13,98876.0,81655.0,,12406.0,,,InProgress,,,5.0,,-17.42
M4761,A09,,Emergency,LandingGear,,,,103832.0,,42.0,38450.0,,High,,,113.0,,8214.0,
M2863,A54,B787,,,,2022-10-28,2022-10-30,,33920.0,191.0,61674.0,inhouse,,Delayed,,134.0,8.0,,
M898,A58,A350,,Hydraulics,2022-08-27,,2022-09-02,12155.0,,11.0,59189.0,,Low,Completed,Frankfurt,117.0,7.0,-2312.0,-19.02
M096,A20,A350,,,,2024-03-31,2024-03-31,97259.0,,19.0,49331.0,,Critical,,Dubai,,7.0,,10.59
M4994,A56,B777,,LandingGear,,,2023-08-03,,83017.0,61.0,39522.0,,,,Chicago,59.0,1.0,,
M2553,A26,,scheduled,,,2022-11-22,2022-11-26,49071.0,57586.0,40.0,,inhouse,Medium,Completed,,122.0,,8515.0,17.35
M843,A50,A320,,Hydraulics,2023-11-11,2023-11-18,,28697.0,27188.0,,,InHouse,Critical,,,49.0,5.0,-1509.0,-5.26
M3078,A31,A350,,,2022-01-19,,2022-02-05,,133348.0,135.0,67157.0,,Medium,InProgress,,,,-7200.0,-5.12
M2522,A04,A350,,Structure,,2022-06-28,2022-06-29,62943.0,91028.0,144.0,56469.0,InHouse,Medium,completed,,129.0,6.0,28085.0,44.62
M4809,A25,B737,,Electrical,2022-07-12,,2022-07-19,,27748.0,16.0,25475.0,inhouse,Low,completed,,,,5048.0,22.24
M2440,A56,b737,,Avionics,2024-07-04,2024-07-04,2024-07-06,45795.0,59997.0,99.0,59759.0,,High,completed,Atlanta,,2.0,,31.01
M1898,A13,B787,,Electrical,2022-01-09,2022-01-15,,85983.0,94236.0,185.0,,V-B,Low,Completed,London,,3.0,8253.0,9.6
M1865,A35,,,Avionics,2023-02-22,,2023-03-08,83013.0,99644.0,,56569.0,inhouse,,,LosAngeles,,,,20.03
M4415,A06,,Scheduled,LandingGear,,2022-10-01,,36780.0,,,22680.0,V-A,Critical,Delayed,,95.0,9.0,-3696.0,-10.05
M323,A13,A320,,,2024-01-09,,2024-01-16,118303.0,163855.0,211.0,,V-B,,Cancelled,Chicago,137.0,9.0,45552.0,38.5
M4205,A01,A350,Preventive,Engine,2022-02-11,,2022-02-27,64196.0,,210.0,86462.0,,,Completed,Tokyo,12.0,9.0,-5160.0,
M4926,A19,A-320,scheduled,Electrical,2023-10-31,2023-10-31,2023-10-31,,,,87637.0,inhouse,Low,Completed,Mumbai,7.0,,8226.0,42.23
M3296,A47,b737,Emergency,Electrical,2023-11-16,,,,74150.0,98.0,23213.0,,Critical,InProgress,Chennai,67.0,6.0,-26756.0,
M335,A08,b737,Preventive,Electrical,2023-02-27,2023-03-02,,52816.0,,120.0,,inhouse,,InProgress,London,9.0,3.0,-10073.0,
M2464,A46,A350,Unscheduled,,,,2024-03-24,,114846.0,65.0,72674.0,,Medium,completed,London,23.0,10.0,10786.0,
M333,A28,A-320,,Electrical,2023-12-06,2023-12-18,2023-12-23,,,64.0,1946.0,,,,Paris,148.0,,-24452.0,-29.27
M834,A45,,,Hydraulics,2022-12-26,2022-12-26,,127225.0,146886.0,27.0,16238.0,,,Completed,,,,19661.0,
M4608,A57,A350,,Avionics,2024-05-09,2024-05-13,2024-05-14,92832.0,114532.0,117.0,79598.0,InHouse,,Completed,Chennai,76.0,10.0,21700.0,
M4942,A18,A320,,,2024-04-24,,2024-05-07,117498.0,,79.0,67041.0,inhouse,,,Paris,40.0,9.0,8499.0,7.23
M2169,A38,B777,,Electrical,2022-10-19,2022-10-23,2022-10-25,116319.0,172156.0,102.0,60377.0,V-B,Medium,Cancelled,,,6.0,55837.0,48.0
M2750,A26,A350,Scheduled,Hydraulics,,2022-07-28,,,88642.0,215.0,17155.0,InHouse,Medium,Delayed,Amsterdam,29.0,5.0,,-0.53
M3283,A43,A320,Unscheduled,,,,2022-10-18,,206808.0,,,V-A,Low,,,,,64316.0,
M732,A32,B737,,Engine,2022-12-28,2023-01-01,2023-01-03,,,,,InHouse,Low,InProgress,Frankfurt,,6.0,-6106.0,-23.99
M292,A43,b737,Unscheduled,,2022-04-11,2022-04-14,2022-04-19,,,77.0,82201.0,V-A,High,Delayed,Frankfurt,120.0,6.0,-1311.0,
M185,A45,b737,Unscheduled,Electrical,2023-01-28,2023-02-07,,,160206.0,,65178.0,V-C,High,InProgress,London,120.0,10.0,27629.0,
M3049,A41,B777,Unscheduled,Engine,2023-09-21,2023-09-23,,69914.0,,37.0,66898.0,V-B,Low,Delayed,Amsterdam,94.0,10.0,-17282.0,-24.72
M1722,A20,A-320,Emergency,Electrical,2022-05-10,,2022-05-16,,59064.0,,57124.0,V-A,,,Dubai,,7.0,5392.0,
M3316,A40,b737,Unscheduled,Avionics,2022-02-05,2022-02-10,2022-02-14,45964.0,57699.0,169.0,61172.0,V-C,Critical,Delayed,Mumbai,,6.0,11735.0,
M534,A47,b737,Unscheduled,Electrical,,,,92685.0,93796.0,143.0,38214.0,,Critical,completed,,84.0,9.0,1111.0,
M3942,A28,A320,Emergency,,2024-02-01,2024-02-08,2024-02-12,,17483.0,5.0,,InHouse,High,,,81.0,4.0,5251.0,42.93
M1324,A55,A320,,Avionics,2024-05-22,2024-05-23,2024-05-24,,,,26423.0,V-A,High,completed,LosAngeles,111.0,6.0,,9.84
M1860,A10,,scheduled,Engine,,,2022-08-14,34240.0,,195.0,,inhouse,,InProgress,Chennai,44.0,,12788.0,37.35
M2956,A48,,,,,2024-08-23,,100732.0,150777.0,,37975.0,,,,Singapore,142.0,6.0,50045.0,49.68
M658,A47,B787,Unscheduled,Avionics,,2023-05-12,,69945.0,83520.0,,16075.0,,High,Cancelled,,126.0,,13575.0,19.41
M1256,A19,B737,Scheduled,,2024-03-13,,2024-03-16,114768.0,111233.0,,,,Medium,InProgress,Mumbai,,1.0,,-3.08
M2334,A46,B777,scheduled,LandingGear,2023-08-17,,2023-08-28,149830.0,201550.0,,10601.0,,,Cancelled,Dubai,55.0,2.0,51720.0,34.52
M2330,A24,b737,scheduled,,2022-07-30,2022-08-02,2022-08-02,83476.0,106643.0,150.0,22771.0,V-A,Low,Cancelled,,106.0,1.0,23167.0,
M2314,A06,A320,,,2024-08-08,,,144173.0,117907.0,,68770.0,V-A,,Completed,NewYork,150.0,7.0,,
M2418,A46,b737,Scheduled,Hydraulics,,2024-07-01,2024-07-05,,126602.0,155.0,,,Medium,,,,,,-14.86
M899,A12,B787,scheduled,Structure,2022-07-23,2022-07-26,2022-07-30,,,,16951.0,V-B,,Completed,Frankfurt,96.0,6.0,,
M429,A29,A320,scheduled,,,,,,,39.0,14102.0,inhouse,,InProgress,NewYork,129.0,,14554.0,
M4540,A06,B787,scheduled,Avionics,2023-08-10,2023-08-18,,22841.0,30478.0,188.0,20466.0,inhouse,Low,Delayed,Dallas,114.0,7.0,,33.44
M3363,A42,B777,,,2024-02-11,2024-02-14,,,182666.0,151.0,3102.0,,High,,,,,39090.0,27.23
M1733,A45,B777,Emergency,,,2023-10-25,2023-10-26,48108.0,48631.0,,,inhouse,Critical,Cancelled,Chicago,,1.0,523.0,
M1979,A51,B787,,,2023-01-06,2023-01-06,,110500.0,81267.0,168.0,16408.0,V-B,Low,InProgress,,,5.0,-29233.0,-26.46
M1223,A26,A320,Scheduled,Structure,2024-09-20,,,83705.0,71952.0,,4249.0,V-A,,InProgress,London,141.0,9.0,,-14.04
M1514,A17,,scheduled,,2024-06-24,2024-06-25,,,23440.0,,84379.0,InHouse,,Delayed,Mumbai,,2.0,,27.74
M3474,A17,A320,Preventive,Hydraulics,2024-04-28,,,131852.0,130205.0,64.0,,InHouse,,,,42.0,,-1647.0,-1.25
M721,A28,B787,Emergency,LandingGear,,2024-03-27,,118631.0,,164.0,15097.0,inhouse,Low,Cancelled,Dallas,,,48198.0,
M3904,A53,,scheduled,Avionics,,2022-01-24,2022-01-24,25890.0,,,47560.0,,Critical,,Chicago,124.0,,-5828.0,-22.51
M3150,A11,B737,Preventive,,2024-01-29,2024-02-04,2024-02-09,105074.0,,70.0,61458.0,inhouse,,InProgress,Tokyo,93.0,5.0,,
M2487,A07,b737,Preventive,LandingGear,2024-02-18,,2024-02-18,,,176.0,,inhouse,Critical,,LosAngeles,,,,
M4605,A22,B787,Emergency,Hydraulics,,2023-06-18,,72690.0,65738.0,,81754.0,,Critical,completed,Chennai,125.0,5.0,-6952.0,-9.56
M2288,A54,B777,,,,2023-12-28,,16642.0,12213.0,138.0,79928.0,,High,,London,38.0,9.0,,
M1718,A21,,,Electrical,,2023-05-05,2023-05-06,,66591.0,,,V-A,,,Mumbai,,4.0,-20994.0,
M2246,A06,,,,2022-02-11,2022-02-16,,84098.0,96506.0,165.0,84505.0,V-B,,,,43.0,,12408.0,
M3389,A30,B787,Unscheduled,Avionics,2024-08-16,,,41337.0,,70.0,,InHouse,Low,Cancelled,NewYork,,2.0,-6444.0,
M3277,A50,,scheduled,Hydraulics,,2022-02-17,2022-02-18,,39928.0,,60858.0,V-B,High,Cancelled,Amsterdam,52.0,,-16126.0,-28.77
M4790,A59,A-320,,,2022-10-08,,,64688.0,,,40597.0,,Critical,Completed,,75.0,3.0,23251.0,
M1729,A35,A320,,Electrical,2022-09-10,2022-09-07,2022-09-11,31546.0,32007.0,,,V-B,,Cancelled,LosAngeles,95.0,,461.0,1.46
M2424,A07,B737,scheduled,LandingGear,2023-12-16,2023-12-25,2023-12-30,38932.0,,114.0,85866.0,inhouse,,Delayed,,12.0,8.0,15757.0,40.47
M3143,A28,B787,Scheduled,LandingGear,2022-10-28,2022-11-03,2022-11-06,,,68.0,67825.0,InHouse,,Cancelled,Dallas,,,-21789.0,-28.04
M4193,A21,B737,Emergency,,,2022-05-11,2022-05-15,47219.0,,,67193.0,,,Completed,,111.0,1.0,17753.0,37.6
M2025,A50,A350,Unscheduled,,,,2024-03-11,,,,27605.0,V-A,,InProgress,,84.0,10.0,19654.0,15.27
M4803,A26,B777,,Hydraulics,,,2022-11-30,96242.0,73943.0,,26812.0,,Critical,,Chicago,21.0,5.0,-22299.0,
M3631,A08,A320,Scheduled,,,2022-11-23,,133318.0,179360.0,213.0,16331.0,,Low,Delayed,LosAngeles,130.0,4.0,46042.0,34.54
M3025,A52,,,Avionics,2022-09-21,2022-10-02,2022-10-08,16672.0,24262.0,,,InHouse,Medium,completed,Paris,122.0,,7590.0,45.53
M1127,A52,,,Hydraulics,,2024-03-10,2024-03-11,21912.0,,,70281.0,,,,Singapore,71.0,3.0,-5510.0,-25.15
M2847,A16,b737,,LandingGear,2024-08-14,,2024-08-28,98251.0,104059.0,30.0,1393.0,V-C,Low,,,38.0,6.0,,5.91
M1562,A21,,Preventive,Structure,2023-06-28,2023-07-01,,50035.0,,208.0,63629.0,V-B,,InProgress,NewYork,135.0,,23923.0,47.81
M3908,A44,B787,scheduled,Engine,2023-01-23,2023-01-22,2023-01-23,,106166.0,103.0,,inhouse,High,,,,1.0,,
M1293,A37,,,,2024-09-06,2024-09-18,,27707.0,38839.0,187.0,43890.0,V-C,High,InProgress,,150.0,9.0,11132.0,
M071,A23,A320,Unscheduled,Electrical,2024-02-03,2024-02-15,2024-02-18,65324.0,,69.0,89835.0,V-B,Critical,Completed,Atlanta,,1.0,,18.56
M2844,A53,,,Engine,2024-06-04,2024-06-11,,,,78.0,76170.0,,,,,126.0,2.0,,15.53
M1306,A03,A320,Preventive,Engine,,2023-12-08,2023-12-08,77727.0,76061.0,134.0,81160.0,V-C,Critical,Completed,Amsterdam,,,,-2.14
M2593,A08,A350,Scheduled,,,2022-10-31,,119127.0,142362.0,181.0,,,Critical,InProgress,Frankfurt,41.0,9.0,23235.0,
M2782,A26,,,,,2023-01-16,2023-01-21,70875.0,67790.0,,,,,completed,Dallas,,1.0,-3085.0,-4.35
M2198,A22,B787,Emergency,Structure,,2023-05-25,,71765.0,69215.0,,62579.0,V-B,Critical,InProgress,,123.0,4.0,,
M3342,A34,,Preventive,Hydraulics,2022-01-20,,2022-02-04,,141005.0,122.0,67531.0,V-A,,Cancelled,NewYork,135.0,3.0,,
M832,A55,B777,,Electrical,2022-10-12,2022-10-15,2022-10-15,92206.0,126305.0,189.0,49005.0,inhouse,,,Paris,20.0,2.0,34099.0,
M3404,A07,B737,,LandingGear,2022-09-26,2022-09-29,,31832.0,41008.0,,44564.0,,,completed,LosAngeles,126.0,,,
M4989,A60,B777,,Engine,2022-07-20,2022-07-31,2022-08-05,67794.0,75132.0,34.0,32947.0,V-A,High,Cancelled,,7.0,5.0,7338.0,
M3027,A01,,Unscheduled,Hydraulics,,2022-08-13,2022-08-18,135731.0,173713.0,139.0,23672.0,V-C,,Cancelled,,37.0,7.0,37982.0,
M239,A56,B787,,,2023-08-04,2023-08-04,,,41816.0,,51206.0,InHouse,,Completed,,75.0,7.0,10342.0,
M3900,A11,,,Electrical,2024-08-01,,,,,205.0,28486.0,,Critical,,Dubai,53.0,3.0,33719.0,
M2054,A38,B787,Unscheduled,LandingGear,2024-08-27,,,85097.0,64415.0,,,V-A,High,Delayed,Dallas,135.0,1.0,-20682.0,-24.3
M2351,A57,B777,Scheduled,LandingGear,,2022-08-26,,19512.0,28762.0,,,V-B,High,,Chennai,,6.0,9250.0,47.41
M4547,A16,,,,2022-06-23,2022-06-30,2022-06-30,,56392.0,56.0,20385.0,,Medium,,Toronto,,,,-22.71
M1506,A51,,Preventive,,2023-07-15,2023-07-16,,44535.0,,159.0,47698.0,,Medium,,Dubai,49.0,1.0,-10266.0,
M3214,A50,,Unscheduled,Engine,2023-07-14,2023-07-18,,68687.0,,12.0,76805.0,V-C,Critical,completed,Amsterdam,,6.0,12493.0,18.19
M1002,A39,B777,Unscheduled,Engine,2023-04-14,2023-04-23,2023-04-24,133891.0,,162.0,,V-A,Critical,completed,NewYork,7.0,5.0,11265.0,8.41
M3506,A19,B737,Preventive,Avionics,2022-01-29,2022-02-07,2022-02-10,30810.0,36884.0,,30945.0,,Low,Completed,London,,5.0,6074.0,
M4542,A05,,Unscheduled,Structure,2024-02-10,,2024-02-17,,,173.0,51750.0,V-A,Critical,,Atlanta,21.0,6.0,-3902.0,
M2128,A16,b737,Unscheduled,Avionics,,,,102642.0,84970.0,,73440.0,,Medium,,,,4.0,-17672.0,
M3832,A03,A-320,,Hydraulics,,,,,,91.0,45298.0,,Medium,,Chicago,72.0,5.0,-34992.0,-27.16
M958,A57,B777,Unscheduled,Avionics,,2023-10-25,,,48005.0,78.0,84505.0,V-B,Low,,Mumbai,46.0,6.0,2861.0,
M4254,A33,B787,Preventive,,,2022-11-14,2022-11-14,51335.0,52674.0,178.0,65362.0,V-B,,,Tokyo,,5.0,1339.0,
M3990,A40,A-320,Scheduled,Engine,,2024-08-04,,,11825.0,179.0,35394.0,InHouse,,Completed,Chennai,89.0,3.0,,
M1398,A10,A-320,scheduled,,2023-03-05,,2023-03-08,96564.0,,12.0,,,High,,,78.0,2.0,,
M1468,A11,A-320,,Engine,,2024-09-18,2024-09-20,,27884.0,161.0,5567.0,V-C,Low,,,6.0,5.0,5106.0,22.42
M412,A39,A-320,Unscheduled,,,2022-07-03,2022-07-06,,39978.0,197.0,55125.0,InHouse,High,Cancelled,Tokyo,47.0,4.0,,47.38
M2933,A07,A-320,,,2024-03-03,2024-03-06,,,,,7664.0,V-A,,Delayed,Amsterdam,38.0,1.0,-16783.0,
M3812,A20,b737,,,2024-05-08,,,29210.0,39866.0,75.0,39740.0,,,completed,Frankfurt,141.0,10.0,,36.48
M1540,A12,b737,Preventive,Electrical,2022-01-09,2022-01-12,2022-01-14,54068.0,39127.0,208.0,73036.0,V-A,Critical,Delayed,Chicago,,5.0,-14941.0,-27.63
M1437,A49,,Unscheduled,,2023-04-04,,2023-04-18,75580.0,81421.0,202.0,19500.0,V-C,,completed,Tokyo,80.0,2.0,,7.73
M2848,A45,A-320,,,2024-09-27,,2024-09-27,15249.0,12855.0,162.0,,,Critical,,,143.0,6.0,-2394.0,-15.7
M2459,A52,,scheduled,,2023-03-19,,2023-03-30,21968.0,,,,,,Cancelled,Chennai,116.0,4.0,1087.0,4.95
M1035,A13,A-320,Emergency,Hydraulics,2022-05-08,2022-05-17,,108043.0,,121.0,73174.0,,,,,112.0,4.0,-32131.0,
M3412,A13,B787,Emergency,Avionics,,,,16230.0,14751.0,,2836.0,V-A,High,Delayed,Toronto,,6.0,-1479.0,
M585,A37,,,LandingGear,,,,12891.0,,193.0,2268.0,,,Delayed,Dallas,,7.0,-4.0,
M932,A59,A-320,,,,2024-06-03,2024-06-08,38754.0,30123.0,126.0,71170.0,V-C,,completed,,94.0,,-8631.0,-22.27
M4505,A56,B787,,Hydraulics,2024-05-28,2024-06-06,,127561.0,90527.0,200.0,2306.0,InHouse,Critical,,Tokyo,20.0,,,-29.03
M3108,A57,B737,,Engine,2024-08-16,,,,,,79097.0,,,Cancelled,NewYork,,7.0,-34980.0,-24.51
M634,A08,A320,,,,2023-09-10,2023-09-11,110904.0,99370.0,82.0,,,Low,,,123.0,7.0,-11534.0,
M4741,A15,B737,,,2024-04-15,2024-04-27,2024-05-02,105027.0,,,70892.0,InHouse,,,London,55.0,2.0,-27843.0,-26.51
M499,A59,A350,,,,,2024-08-27,,149719.0,62.0,27626.0,V-B,,,,,,6874.0,4.81
M3948,A11,,Scheduled,Electrical,,,,65825.0,55461.0,,,InHouse,,Completed,NewYork,64.0,8.0,,
M416,A01,A-320,Scheduled,,2022-12-12,2022-12-14,2022-12-17,148553.0,,,13805.0,inhouse,Critical,Cancelled,London,61.0,,,-29.15
M2451,A58,B787,Emergency,Structure,2023-04-07,2023-04-13,2023-04-13,44884.0,33273.0,83.0,58126.0,inhouse,Low,Cancelled,London,81.0,,-11611.0,-25.87
M4059,A09,B777,scheduled,LandingGear,2022-01-16,2022-01-16,,,19247.0,,30393.0,V-A,,InProgress,Singapore,126.0,,2067.0,12.03
M3376,A43,B777,Scheduled,Electrical,,2022-03-16,,,9724.0,,41183.0,V-A,Critical,,Chennai,,,,-23.6
M1666,A21,b737,,Structure,,2022-01-08,,89581.0,88242.0,134.0,54261.0,V-C,Medium,Cancelled,Singapore,138.0,7.0,-1339.0,
M758,A35,A320,Preventive,,,2022-05-30,2022-05-31,139090.0,179889.0,,38938.0,,,Delayed,Singapore,75.0,7.0,40799.0,
M3979,A55,A320,,Engine,2022-03-26,2022-03-27,,58019.0,70602.0,47.0,,V-B,Critical,Delayed,Chennai,107.0,8.0,12583.0,
M1042,A57,B787,Emergency,LandingGear,2023-07-09,,2023-07-16,,,10.0,66409.0,inhouse,Low,,Dubai,57.0,6.0,6601.0,4.93
M4883,A53,B737,Scheduled,,2022-04-16,2022-04-22,,44853.0,,61.0,50998.0,inhouse,Low,Delayed,Frankfurt,75.0,2.0,,
M2761,A26,b737,Scheduled,LandingGear,2022-06-11,,,119252.0,,,46995.0,V-A,High,Cancelled,Mumbai,21.0,4.0,23407.0,
M2895,A29,,Preventive,LandingGear,2022-06-22,2022-06-28,,,55278.0,25.0,88070.0,,,Delayed,,26.0,8.0,-386.0,
M4997,A12,A-320,,Hydraulics,,2023-03-25,,,102057.0,65.0,64143.0,V-B,High,,Dallas,,7.0,,-22.13
M597,A04,,scheduled,,,2022-08-08,,61666.0,64974.0,174.0,87512.0,,Low,Delayed,Frankfurt,18.0,,,5.36
M3833,A53,A350,,Electrical,,2024-05-11,,,,156.0,,V-A,Critical,InProgress,,33.0,10.0,18397.0,12.63
M1069,A13,A-320,Unscheduled,Hydraulics,2023-08-20,2023-08-19,,5055.0,,,,,,completed,Atlanta,139.0,2.0,1805.0,35.71
M4757,A40,B737,Scheduled,Hydraulics,2022-10-16,,2022-10-28,,,93.0,23350.0,V-C,,,LosAngeles,,,66034.0,
M3009,A48,B737,Emergency,Engine,2023-10-13,,2023-10-19,139448.0,100348.0,37.0,3892.0,V-A,Low,Delayed,,,,-39100.0,-28.04
M653,A07,A350,,,2022-01-06,,2022-01-16,110399.0,,,70349.0,inhouse,High,,LosAngeles,129.0,1.0,-1808.0,-1.64
M4468,A32,A320,,,,2023-08-02,2023-08-04,104454.0,82769.0,49.0,17005.0,V-C,,completed,,,6.0,-21685.0,-20.76
M4649,A38,B777,Unscheduled,Electrical,,,,50076.0,38958.0,16.0,46657.0,V-C,,completed,Singapore,,9.0,-11118.0,-22.2
M3753,A23,,Emergency,Hydraulics,2024-01-12,,2024-01-15,128264.0,100251.0,31.0,,,Critical,,NewYork,59.0,1.0,-28013.0,
M1671,A03,A-320,Emergency,Structure,2024-07-27,,,112796.0,84440.0,,,,High,Completed,Dubai,76.0,2.0,-28356.0,-25.14
M3083,A15,,scheduled,Engine,,2023-10-21,2023-10-26,,112383.0,,14920.0,inhouse,Critical,,Paris,10.0,,,-23.14
M562,A01,A350,,LandingGear,,,2022-02-27,,153110.0,25.0,75949.0,,High,Cancelled,,,4.0,8542.0,
M3115,A56,,Unscheduled,,2024-05-27,2024-06-01,2024-06-02,104891.0,,27.0,,inhouse,,Completed,Dubai,,4.0,-2596.0,
M4329,A23,B787,Scheduled,Avionics,,2023-09-13,2023-09-14,,,113.0,54439.0,,,,Chennai,14.0,,,23.61
M076,A24,b737,scheduled,Hydraulics,,2022-04-14,,,41005.0,155.0,,InHouse,,,Dubai,109.0,5.0,,1.09
M3818,A38,B737,Preventive,Engine,,,2023-11-07,11711.0,14822.0,174.0,36717.0,inhouse,Medium,Completed,,45.0,4.0,3111.0,
M3359,A20,A-320,Preventive,LandingGear,2024-01-12,2024-01-21,,52206.0,58396.0,189.0,44396.0,,High,Completed,Tokyo,140.0,10.0,,11.86
